"","word","rt","acc","wordLength","realpseudo","subj"
"1","strange",1.414,1,7,"real",1
"2","acquisitiveness",0.934,1,15,"real",1
"3","alk",1.022,1,3,"pseudo",1
"4","stass",0.667,1,5,"pseudo",1
"5","we",0.523,1,2,"real",1
"6","wared",0.84,1,5,"pseudo",1
"7","jewel",0.731,1,5,"real",1
"8","de",0.699,1,2,"pseudo",1
"9","part",0.556,1,4,"real",1
"10","baafness",0.765,1,8,"pseudo",1
"11","dooseful",0.711,1,8,"pseudo",1
"12","cok",0.613,1,3,"pseudo",1
"13","man",0.518,1,3,"real",1
"14","contain",0.601,1,7,"real",1
"15","resolve",0.597,1,7,"real",1
"16","roder",0.694,1,5,"pseudo",1
"17","leld",0.645,1,4,"pseudo",1
"18","napery",0.672,0,6,"real",1
"19","kind",0.77,1,4,"real",1
"20","left",0.648,1,4,"real",1
"21","ggnoi",0.635,1,5,"pseudo",1
"22","oenc",10.669,0,4,"pseudo",1
"23","stain",0.904,1,5,"real",1
"24","runey",0.703,1,5,"pseudo",1
"25","fistory",0.697,1,7,"pseudo",1
"26","ees",0.577,1,3,"pseudo",1
"27","nap",0.675,1,3,"real",1
"28","impoverish",0.832,1,10,"real",1
"29","collapse",0.593,1,8,"real",1
"30","lant",0.737,1,4,"pseudo",1
"31","hom",0.567,1,3,"pseudo",1
"32","ston",0.588,1,4,"pseudo",1
"33","fatter",0.834,1,6,"real",1
"34","ase",0.821,1,3,"pseudo",1
"35","ways",0.812,1,4,"real",1
"36","library",0.551,1,7,"real",1
"37","arsher",0.773,1,6,"pseudo",1
"38","special",0.589,1,7,"real",1
"39","immiterise",0.764,1,10,"pseudo",1
"40","stop",0.586,1,4,"real",1
"41","stamp",0.539,1,5,"real",1
"42","fish",0.52,1,4,"real",1
"43","contive",0.771,1,7,"pseudo",1
"44","distance",0.584,1,8,"real",1
"45","business",0.537,1,8,"real",1
"46","land",0.498,1,4,"real",1
"47","money",0.492,1,5,"real",1
"48","distides",0.657,1,8,"pseudo",1
"49","answer",0.649,1,6,"real",1
"50","jixel",0.738,1,5,"pseudo",1
"51","stail",1.542,1,5,"pseudo",1
"52","river",0.548,1,5,"real",1
"53","fite",0.686,1,4,"pseudo",1
"54","cow",0.595,1,3,"real",1
"55","molk",0.642,1,4,"pseudo",1
"56","plane",0.521,1,5,"real",1
"57","going",0.522,1,5,"real",1
"58","swane",0.582,1,5,"pseudo",1
"59","appropriates",1.097,0,12,"real",1
"60","fattify",0.843,1,7,"pseudo",1
"61","waves",0.567,1,5,"real",1
"62","once",0.614,1,4,"real",1
"63","arm",0.534,1,3,"real",1
"64","find",0.531,1,4,"real",1
"65","te",0.533,1,2,"pseudo",1
"66","time",0.503,1,4,"real",1
"67","collosks",0.778,1,8,"pseudo",1
"68","bangs",0.894,1,5,"real",1
"69","rebosks",0.736,1,7,"pseudo",1
"70","speveal",0.8,1,7,"pseudo",1
"71","wass",0.845,0,4,"pseudo",1
"72","sun",0.803,1,3,"real",1
"73","idthepiates",0.874,1,11,"pseudo",1
"74","tice",0.746,1,4,"pseudo",1
"75","fimp",1.544,1,4,"pseudo",1
"76","ancrusinishness",1.068,1,15,"pseudo",1
"77","bawed",0.675,1,5,"pseudo",1
"78","hitter",0.742,0,6,"pseudo",1
"79","pame",0.731,1,4,"pseudo",1
"80","warpen",0.604,1,6,"pseudo",1
"81","me",0.773,1,2,"real",1
"82","mun",0.82,1,3,"pseudo",1
"83","kile",0.586,1,4,"pseudo",1
"84","imeyits",0.6,1,7,"pseudo",1
"85","han",0.592,1,3,"pseudo",1
"86","vosery",8.066,0,6,"pseudo",1
"87","seadrill",0.984,1,8,"pseudo",1
"88","and",0.693,1,3,"real",1
"89","nop",0.765,1,3,"pseudo",1
"90","testify",0.75,1,7,"real",1
"91","down",0.754,1,4,"real",1
"92","seashell",0.868,1,8,"real",1
"93","him",0.551,1,3,"real",1
"94","see",0.454,1,3,"real",1
"95","wndo",0.597,1,4,"pseudo",1
"96","strarms",1.007,1,7,"pseudo",1
"97","doubtful",0.865,1,8,"real",1
"98","garden",0.45,1,6,"real",1
"99","imagine",0.425,1,7,"real",1
"100","milk",0.483,1,4,"real",1
"101","insows",1.033,1,6,"pseudo",1
"102","cowbim",0.83,1,6,"pseudo",1
"103","moon",0.554,1,4,"real",1
"104","potent",0.568,1,6,"real",1
"105","molent",0.682,1,6,"pseudo",1
"106","sholt",0.753,1,5,"pseudo",1
"107","cag",0.729,1,3,"pseudo",1
"108","charring",0.752,0,8,"real",1
"109","new",0.702,1,3,"real",1
"110","short",0.466,1,5,"real",1
"111","clought",0.718,1,7,"pseudo",1
"112","trood",0.784,1,5,"pseudo",1
"113","loms",0.588,1,4,"pseudo",1
"114","knew",0.698,1,4,"real",1
"115","jump",0.505,1,4,"real",1
"116","med",0.737,1,3,"pseudo",1
"117","light",0.7,1,5,"real",1
"118","vlei",0.645,1,4,"pseudo",1
"119","reverse",0.635,1,7,"real",1
"120","red",0.459,1,3,"real",1
"121","accustomed",0.745,1,10,"real",1
"122","shoes",0.45,1,5,"real",1
"123","pumer",0.569,1,5,"pseudo",1
"124","finally",0.597,1,7,"real",1
"125","the",0.551,1,3,"real",1
"126","ypla",0.603,1,4,"pseudo",1
"127","lost",0.533,1,4,"real",1
"128","ot",0.801,1,2,"pseudo",1
"129","garment",0.484,1,7,"real",1
"130","jostile",0.744,1,7,"pseudo",1
"131","timelly",0.801,1,7,"pseudo",1
"132","tried",0.673,1,5,"real",1
"133","fasees",0.736,1,6,"pseudo",1
"134","car",0.503,1,3,"real",1
"135","quen",0.668,1,4,"pseudo",1
"136","wread",0.735,1,5,"pseudo",1
"137","then",0.604,1,4,"real",1
"138","justice",0.554,1,7,"real",1
"139","strosh",0.58,1,6,"pseudo",1
"140","signal",0.453,1,6,"real",1
"141","arf",0.623,1,3,"pseudo",1
"142","brubs",0.6,1,5,"pseudo",1
"143","live",0.488,1,4,"real",1
"144","inni",0.681,1,4,"pseudo",1
"145","serning",0.701,1,7,"pseudo",1
"146","brush",0.585,1,5,"real",1
"147","moop",0.706,1,4,"pseudo",1
"148","natural",0.55,1,7,"real",1
"149","nurger",0.516,1,6,"pseudo",1
"150","chanding",0.746,1,8,"pseudo",1
"151","twew",1.016,1,4,"pseudo",1
"152","air",0.536,1,3,"real",1
"153","power",0.451,1,5,"real",1
"154","almost",0.486,1,6,"real",1
"155","vesural",0.664,1,7,"pseudo",1
"156","totoseneian",0.728,1,11,"pseudo",1
"157","tascer",0.649,1,6,"pseudo",1
"158","could",0.967,1,5,"real",1
"159","is",0.653,1,2,"real",1
"160","of",0.466,1,2,"real",1
"161","sildal",0.705,1,6,"pseudo",1
"162","brought",0.616,1,7,"real",1
"163","no",0.74,1,2,"real",1
"164","che",0.532,1,3,"pseudo",1
"165","fing",0.756,1,4,"pseudo",1
"166","repress",0.763,1,7,"real",1
"167","number",0.572,1,6,"real",1
"168","hust",0.917,1,4,"pseudo",1
"169","liffs",0.654,1,5,"pseudo",1
"170","strong",0.493,1,6,"real",1
"171","configuration",0.554,1,13,"real",1
"172","albust",0.587,1,6,"pseudo",1
"173","father",0.545,1,6,"real",1
"174","cowboy",0.548,1,6,"real",1
"175","into",0.551,1,4,"real",1
"176","sheas",0.596,1,5,"pseudo",1
"177","recorse",0.719,1,7,"pseudo",1
"178","she",1.044,1,3,"real",1
"179","rescets",0.665,1,7,"pseudo",1
"180","oban",0.655,1,4,"pseudo",1
"181","tha",0.718,1,3,"pseudo",1
"182","knead",0.716,1,5,"real",1
"183","morning",0.548,1,7,"real",1
"184","na",0.486,1,2,"pseudo",1
"185","congusozation",0.747,1,13,"pseudo",1
"186","play",0.589,1,4,"real",1
"187","accastanct",0.555,1,10,"pseudo",1
"188","naw",0.551,1,3,"pseudo",1
"189","os",0.584,1,2,"pseudo",1
"190","must",0.633,1,4,"real",1
"191","lape",1.067,1,4,"pseudo",1
"192","homogeneous",0.824,1,11,"real",1
"193","famous",0.556,1,6,"real",1
"194","sould",0.618,1,5,"pseudo",1
"195","inside",0.835,1,6,"real",1
"196","mpju",0.547,1,4,"pseudo",1
"197","open",0.666,1,4,"real",1
"198","fine",3.699,1,4,"real",1
"199","garbant",0.817,1,7,"pseudo",1
"200","lame",0.84,1,4,"real",1
"201","people",0.955,1,6,"real",1
"202","grasshopper",0.744,1,11,"real",1
"203","cologne",0.68,1,7,"real",1
"204","describe",0.556,1,8,"real",1
"205","guarantee",0.584,1,9,"real",1
"206","underchime",0.769,0,10,"pseudo",1
"207","upending",1.101,1,8,"real",1
"208","fave",1.083,1,4,"pseudo",1
"209","elements",0.5,1,8,"real",1
"210","hammer",0.517,1,6,"real",1
"211","telescoped",0.838,1,10,"real",1
"212","woft",0.749,1,4,"pseudo",1
"213","pop",0.852,1,3,"real",1
"214","phlere",0.971,1,6,"pseudo",1
"215","slace",0.769,1,5,"pseudo",1
"216","paper",0.535,1,5,"real",1
"217","germantia",0.814,1,9,"pseudo",1
"218","hu",0.73,1,2,"pseudo",1
"219","invectiress",4.067,0,11,"pseudo",1
"220","ar",0.673,1,2,"pseudo",1
"221","cotosks",0.684,1,7,"pseudo",1
"222","back",0.601,1,4,"real",1
"223","permanency",1.212,1,10,"real",1
"224","dog",0.531,1,3,"real",1
"225","hect",0.701,1,4,"pseudo",1
"226","without",0.901,1,7,"real",1
"227","pretty",0.605,1,6,"real",1
"228","thantboard",0.794,1,10,"pseudo",1
"229","overtruan",0.733,1,9,"pseudo",1
"230","wto",0.637,1,3,"pseudo",1
"231","them",0.668,1,4,"real",1
"232","as",0.805,1,2,"real",1
"233","sail",0.552,1,4,"real",1
"234","again",0.433,1,5,"real",1
"235","ablood",0.768,1,6,"pseudo",1
"236","skateboard",0.687,1,10,"real",1
"237","never",0.669,1,5,"real",1
