"word","rt","acc","wordLength","realpseudo","wordList","stimOrder","stimBlock","subj"
"insows",3.122085,1,6,"pseudo","B",1,1,121
"baafness",2.13554,0,8,"pseudo","B",2,1,121
"farmer",2.39441,0,6,"real","B",3,1,121
"pencil",1.612725,1,6,"real","B",4,1,121
"teacher",2.136135,0,7,"real","B",5,1,121
"moon",0.69927,1,4,"real","B",6,1,121
"chareet",1.459425,0,7,"pseudo","B",7,1,121
"famous",2.886065,0,6,"real","B",8,1,121
"mader",0.83373,0,5,"pseudo","B",9,1,121
"potent",3.2347,0,6,"real","B",10,1,121
"bangs",0.81964,1,5,"real","B",11,1,121
"budget",1.929345,0,6,"real","B",12,1,121
"benon",0.56707,0,5,"pseudo","B",13,1,121
"accustomed",4.116355,0,10,"real","B",14,1,121
"tried",0.631105,1,5,"real","B",15,1,121
"fite",1.952325,0,4,"pseudo","B",16,1,121
"truck",2.674415,0,5,"real","B",17,1,121
"animal",1.20059,1,6,"real","B",18,1,121
"street",1.484095,1,6,"real","B",19,1,121
"clomify",3.047985,1,7,"pseudo","B",20,1,121
"sids",3.149055,1,4,"pseudo","B",21,1,121
"long",1.382635,1,4,"real","B",22,1,121
"roder",3.033355,0,5,"pseudo","B",23,1,121
"shring",1.584185,1,6,"pseudo","B",24,1,121
"plays",2.77596,1,5,"real","B",25,1,121
"toy",1.403455,1,3,"real","B",26,1,121
"besime",2.308545,1,6,"pseudo","B",27,1,121
"jixel",1.39564,1,5,"pseudo","B",28,1,121
"mun",1.51662,0,3,"pseudo","B",29,1,121
"building",1.8321,0,8,"real","B",30,1,121
"peace",1.201125,1,5,"real","B",31,1,121
"wood",1.46763,1,4,"real","B",32,1,121
"throomba",2.13496,1,8,"pseudo","B",33,1,121
"went",1.320135,1,4,"real","B",34,1,121
"flankfopper",1.381135,1,11,"pseudo","B",35,1,121
"number",5.563425,1,6,"real","B",36,1,121
"ypla",1.636355,1,4,"pseudo","B",37,1,121
"great",1.057855,1,5,"real","B",38,1,121
