"","pcor_all","pcor_real","pcor_pseudo","date_ldt","realpseudo","length_real","length_pseduo","subj"
"1",0.972,0.972,0.972,"2020-06-20",-0.0371965175916296,0.00583191407469556,0.00957081200629625,1
"2",0.816,0.872,0.76,"2020-06-04",-0.0518774160960838,0.0167158508429655,-0.00419580254825855,2
"3",0.816,0.872,0.76,"2020-06-04",-0.0518774160960838,0.0167158508429655,-0.00419580254825855,188
"4",0.854,0.928,0.78,"2020-06-07",-0.193035548622064,0.0287191732398176,0.0157142565847467,3
"5",0.96,0.956,0.964,"2020-06-09",-0.0615844324192678,0.0209501232581635,0.0204022048430889,4
"6",0.898,0.884,0.912,"2020-06-12",-0.0510311711562182,0.0031721510026507,0.00408842566189694,5
"7",0.878,0.848,0.908,"2020-06-12",-0.0697485236850077,0.0102695261418762,0.0136727054944484,6
"8",0.748,0.756,0.74,"2020-06-04",-0.0853382254672226,0.014523372231284,-0.00601661689480376,7
"9",0.852,0.876,0.828,"2020-06-04",-0.0542098883541739,0.00809691012444462,-0.00393446454236781,8
"10",0.786,0.836,0.736,"2020-06-09",-0.0448977916444361,0.00151706543243599,0.00368912530095368,9
"11",0.952,0.92,0.984,"2020-06-04",-0.036635406182558,0.00602818658898186,0.0143549228582663,10
"12",0.666,0.696,0.636,"2020-06-12",-0.043537527384885,-0.00475600542942042,-0.00215134597814379,11
"13",0.956,0.932,0.98,"2020-06-06",0.0108504451896021,0.0140111612155196,0.00641016441101062,12
"14",0.826,0.82,0.832,"2020-06-07",-0.0338181587479175,0.00448708479651633,-0.002146857170801,13
"15",0.806,0.872,0.74,"2020-06-08",-0.126546550157946,0.0275732070951192,0.0127176490931636,14
"16",0.94,0.928,0.952,"2020-06-05",-0.0336700437561293,0.0184349565994545,0.00975554385353337,15
"17",0.972,0.968,0.976,"2020-06-05",-0.0290850258035088,0.00285912305186191,0.000436712614751573,16
"18",0.866,0.84,0.892,"2020-06-05",-0.0457738245485112,-0.000228165954682931,0.0114724731642231,17
"19",0.898,0.916,0.88,"2020-06-12",-0.033249910804789,0.00457398581853059,0.00763570150549439,18
"20",0.86,0.848,0.872,"2020-06-18",-0.0256510299191935,0.00845151304631421,-0.00127654370924955,19
"21",0.782,0.852,0.712,"2020-06-16",-0.0397297410450704,0.00332490029100865,0.0254410320207547,20
"22",0.814,0.804,0.824,"2020-06-09",-0.019954812736,0.00547222682239889,0.00788987364697049,21
"23",0.836,0.856,0.816,"2020-06-05",-0.0785120340149805,0.000150525625423041,0.00685394158673924,22
"24",0.84,0.836,0.844,"2020-06-15",-0.0807711644173125,0.0245228309961189,0.00723582404502058,23
"25",0.696,0.836,0.556,"2020-07-01",-0.0868860530971523,0.018375673811184,0.0124090451981866,24
"26",0.776,0.804,0.748,"2020-06-19",-0.0216707544770902,0.0122062448131278,0.00760685523082819,25
"27",0.64,0.732,0.548,"2020-06-17",-0.0220192990193965,0.018931344368283,0.00363651293437565,26
"28",0.932,0.932,0.932,"2020-06-17",-0.0188467778888552,0.00292125297153769,0.00872598906304965,27
"29",0.718,0.676,0.76,"2020-06-18",0.0130306726724602,0.0167081334833991,-0.0149076509305283,28
"30",0.872,0.912,0.832,"2020-06-11",-0.0721087278500835,0.00449845135806836,0.0110426698008965,29
"31",0.808,0.76,0.856,"2020-06-04",-0.0213274871179787,0.0142639402448877,0.00571327190637604,30
"32",0.88,0.836,0.924,"2020-06-17",-0.0647923415527998,0.0108690613029727,0.0113670288162268,31
"33",0.852,0.86,0.844,"2020-06-15",-0.0531413595058898,0.0138089068950383,0.00606486386936104,32
"34",0.896,0.872,0.92,"2020-06-14",-0.0453580204625045,0.00945336588410334,-0.00498971455908901,33
"35",0.932,0.928,0.936,"2020-06-04",-0.0466975658962452,0.0120683273018647,0.0159368311972393,34
"36",0.802,0.812,0.792,"2020-07-14",-0.118705295392811,0.0178620545105441,0.011647983319149,35
"37",0.592,0.564,0.62,"2020-06-13",-0.0183924186202091,-0.00544835787676602,-0.0138211122934448,36
"38",0.872,0.9,0.844,"2020-06-15",-0.0522436344525206,0.000139987208669751,0.00602322184649217,37
"39",0.894,0.924,0.864,"2020-06-20",-0.0488985539452459,0.014476620149897,0.000791980691272614,38
"40",0.708,0.764,0.652,"2020-06-07",0.026234630413531,0.00968867362035469,0.00638849663710861,39
"41",0.872,0.86,0.884,"2020-06-11",-0.0953107803710618,0.0148867711956316,0.0129564698075291,40
