"word","rt","acc","wordLength","realpseudo","subj"
"te",3.122015,1,2,"pseudo",2
"cok",0.890805,1,3,"pseudo",2
"de",1.15196,1,2,"pseudo",2
"fatter",1.032945,1,6,"real",2
"acquisitiveness",1.04425,0,15,"real",2
"bawed",6.27528,1,5,"pseudo",2
"arsher",1.886055,0,6,"pseudo",2
"swane",2.21831,1,5,"pseudo",2
"impoverish",1.768685,1,10,"real",2
"testify",1.432615,1,7,"real",2
"sun",0.805545,1,3,"real",2
"library",0.795735,1,7,"real",2
"imeyits",1.89169,0,7,"pseudo",2
"going",0.927995,1,5,"real",2
"see",0.62607,1,3,"real",2
"runey",0.883805,0,5,"pseudo",2
"mun",0.932645,1,3,"pseudo",2
"arm",0.70958,1,3,"real",2
"collapse",1.152455,1,8,"real",2
"alk",1.112485,1,3,"pseudo",2
"jewel",1.332555,0,5,"real",2
"dooseful",0.148505,1,8,"pseudo",2
"land",0.74153,1,4,"real",2
"part",0.75115,1,4,"real",2
"wass",0.96943,1,4,"pseudo",2
"napery",1.21698,0,6,"real",2
"warpen",1.45016,1,6,"pseudo",2
"contive",0.79474,1,7,"pseudo",2
"strarms",1.34949,1,7,"pseudo",2
"lant",1.650255,1,4,"pseudo",2
"collosks",1.283895,1,8,"pseudo",2
"me",1.1935,1,2,"real",2
"wared",1.63365,1,5,"pseudo",2
"tice",1.350095,1,4,"pseudo",2
"fite",1.591625,0,4,"pseudo",2
"stail",0.093155,0,5,"pseudo",2
"milk",0.733835,1,4,"real",2
"resolve",1.116665,1,7,"real",2
"nop",1.536475,0,3,"pseudo",2
"left",0.65296,0,4,"real",2
"man",0.718055,1,3,"real",2
"time",0.51269,1,4,"real",2
"stain",0.816975,1,5,"real",2
"and",0.50372,1,3,"real",2
"plane",0.61813,1,5,"real",2
"doubtful",0.96864,1,8,"real",2
"ston",1.233595,0,4,"pseudo",2
"distides",0.09345,1,8,"pseudo",2
"bangs",0.93456,1,5,"real",2
"contain",1.099465,1,7,"real",2
"idthepiates",1.642945,1,11,"pseudo",2
"stass",1.21555,1,5,"pseudo",2
"pame",0.69364,1,4,"pseudo",2
"han",0.9004,1,3,"pseudo",2
"fistory",0.595905,1,7,"pseudo",2
"immiterise",0.46864,1,10,"pseudo",2
"we",0.568215,1,2,"real",2
"stamp",0.45485,1,5,"real",2
"roder",1.100975,1,5,"pseudo",2
"money",0.48729,1,5,"real",2
"strange",0.65001,1,7,"real",2
"distance",0.80697,1,8,"real",2
"ggnoi",0.622965,1,5,"pseudo",2
"waves",0.52509,1,5,"real",2
"ees",0.482945,1,3,"pseudo",2
"fimp",0.57872,0,4,"pseudo",2
"ways",0.722535,1,4,"real",2
"molk",0.66911,0,4,"pseudo",2
"him",0.716085,1,3,"real",2
"ase",0.56712,1,3,"pseudo",2
"kind",0.642355,1,4,"real",2
"business",0.608935,1,8,"real",2
"cow",0.43183,1,3,"real",2
"ancrusinishness",0.707525,1,15,"pseudo",2
"answer",0.72021,1,6,"real",2
"hom",0.56957,1,3,"pseudo",2
"appropriates",0.585165,1,12,"real",2
"once",0.4893,0,4,"real",2
"rebosks",0.84418,1,7,"pseudo",2
"wndo",0.577595,1,4,"pseudo",2
"seadrill",0.53398,1,8,"pseudo",2
"speveal",0.659055,1,7,"pseudo",2
"fattify",0.543545,1,7,"pseudo",2
"baafness",0.482285,1,8,"pseudo",2
"river",0.582485,1,5,"real",2
"down",0.56582,1,4,"real",2
"garden",0.58302,1,6,"real",2
"find",0.5016,1,4,"real",2
"leld",1.639665,1,4,"pseudo",2
"stop",0.558145,1,4,"real",2
"nap",0.81592,1,3,"real",2
"special",0.915675,1,7,"real",2
"kile",0.885925,1,4,"pseudo",2
"hitter",1.353895,1,6,"pseudo",2
"oenc",1.36967,0,4,"pseudo",2
"vosery",0.9405,1,6,"pseudo",2
"fish",0.719235,1,4,"real",2
"seashell",0.904315,1,8,"real",2
"jixel",0.715855,1,5,"pseudo",2
"imagine",0.676005,1,7,"real",2
"short",0.680875,1,5,"real",2
"med",0.81624,0,3,"pseudo",2
"inside",0.634695,1,6,"real",2
"nurger",1.069135,0,6,"pseudo",2
"albust",1.151385,1,6,"pseudo",2
"almost",0.63563,1,6,"real",2
"air",0.66323,1,3,"real",2
"garment",0.711015,1,7,"real",2
"no",0.6075,0,2,"real",2
"reverse",1.086055,1,7,"real",2
"inni",0.829845,1,4,"pseudo",2
"is",0.702745,1,2,"real",2
"accastanct",0.857415,1,10,"pseudo",2
"che",1.004035,1,3,"pseudo",2
"sildal",0.899355,1,6,"pseudo",2
"number",0.799465,1,6,"real",2
"ypla",0.806635,1,4,"pseudo",2
"pumer",0.8135,0,5,"pseudo",2
"homogeneous",0.699425,0,11,"real",2
"totoseneian",0.93337,1,11,"pseudo",2
"sould",0.76826,0,5,"pseudo",2
"serning",0.715525,1,7,"pseudo",2
"light",0.66456,1,5,"real",2
"naw",2.33498,0,3,"pseudo",2
"lape",1.33338,0,4,"pseudo",2
"moon",0.89354,1,4,"real",2
"must",0.56644,1,4,"real",2
"brush",0.60811,1,5,"real",2
"power",0.682925,1,5,"real",2
"sholt",0.90773,1,5,"pseudo",2
"sheas",0.76626,1,5,"pseudo",2
"trood",1.06579,1,5,"pseudo",2
"insows",0.899395,1,6,"pseudo",2
"natural",0.680555,1,7,"real",2
"signal",0.56679,1,6,"real",2
"potent",0.643985,1,6,"real",2
"of",0.68939,1,2,"real",2
"knew",0.38194,1,4,"real",2
"clought",0.77279,1,7,"pseudo",2
"father",0.732935,1,6,"real",2
"charring",0.852975,0,8,"real",2
"lost",0.61875,1,4,"real",2
"strosh",0.683095,1,6,"pseudo",2
"open",0.419105,1,4,"real",2
"recorse",0.666525,1,7,"pseudo",2
"mpju",0.616725,1,4,"pseudo",2
"na",0.4361,1,2,"pseudo",2
"garbant",1.258185,1,7,"pseudo",2
"arf",0.526055,1,3,"pseudo",2
"congusozation",0.62402,1,13,"pseudo",2
"the",0.38512,1,3,"real",2
"vesural",0.856565,1,7,"pseudo",2
"tried",0.57363,1,5,"real",2
"cowboy",0.540865,1,6,"real",2
"new",0.57398,1,3,"real",2
"morning",0.46606,1,7,"real",2
"live",0.372155,1,4,"real",2
"liffs",0.33236,0,5,"pseudo",2
"she",0.85289,1,3,"real",2
"hust",0.584925,1,4,"pseudo",2
"quen",0.66687,1,4,"pseudo",2
"configuration",0.66159,1,13,"real",2
"loms",0.57819,1,4,"pseudo",2
"could",0.403185,1,5,"real",2
"jump",0.504555,1,4,"real",2
"rescets",0.78528,1,7,"pseudo",2
"wread",0.60021,1,5,"pseudo",2
"molent",0.51793,1,6,"pseudo",2
"finally",0.567615,1,7,"real",2
"cowbim",0.80054,1,6,"pseudo",2
"cag",0.73479,1,3,"pseudo",2
"moop",1.018155,1,4,"pseudo",2
"fasees",0.616965,1,6,"pseudo",2
"lame",0.68261,1,4,"real",2
"fine",0.56716,1,4,"real",2
"os",0.80997,1,2,"pseudo",2
"ot",0.551305,1,2,"pseudo",2
"brought",0.64317,1,7,"real",2
"tha",0.752835,1,3,"pseudo",2
"chanding",0.761225,1,8,"pseudo",2
"fing",0.78627,1,4,"pseudo",2
"knead",0.66645,1,5,"real",2
"brubs",0.64539,1,5,"pseudo",2
"timelly",0.499105,0,7,"pseudo",2
"into",0.83718,1,4,"real",2
"shoes",0.507205,1,5,"real",2
"oban",0.6872,1,4,"pseudo",2
"tascer",0.49246,1,6,"pseudo",2
"famous",0.622965,1,6,"real",2
"strong",0.429245,1,6,"real",2
"red",0.418955,1,3,"real",2
"justice",0.48701,1,7,"real",2
"twew",0.541095,1,4,"pseudo",2
"accustomed",1.05373,1,10,"real",2
"then",1.01848,1,4,"real",2
"repress",0.888495,0,7,"real",2
"play",0.52397,1,4,"real",2
"vlei",0.55954,1,4,"pseudo",2
"jostile",0.5451,1,7,"pseudo",2
"car",0.5497,1,3,"real",2
"again",1.697775,1,5,"real",2
"bone",0.904425,1,4,"real",2
"cat",0.73012,1,3,"real",2
"as",0.91259,1,2,"real",2
"alipol",1.158255,1,6,"pseudo",2
"better",0.8158,1,6,"real",2
"never",0.660435,1,5,"real",2
"thank",0.59888,1,5,"real",2
"dood",0.912275,1,4,"pseudo",2
"sids",0.632475,0,4,"pseudo",2
"flankfopper",1.18712,1,11,"pseudo",2
"space",0.733615,1,5,"real",2
"bove",0.80302,1,4,"pseudo",2
"ap",0.843035,1,2,"pseudo",2
"sphere",1.023225,1,6,"real",2
"sail",0.719905,1,4,"real",2
"mader",1.287345,0,5,"pseudo",2
"describe",1.210745,1,8,"real",2
"pretty",0.77007,1,6,"real",2
"agreed",0.87458,1,6,"real",2
"etecants",0.81722,1,8,"pseudo",2
"paper",0.61626,1,5,"real",2
"whose",0.85257,1,5,"real",2
"dag",2.488525,1,3,"pseudo",2
"able",1.11833,1,4,"real",2
"qualify",0.983775,1,7,"real",2
"germantia",1.65251,1,9,"pseudo",2
"mannanency",1.61029,1,10,"pseudo",2
"nuder",1.31273,1,5,"pseudo",2
"grat",1.2512,1,4,"pseudo",2
"overwhelm",1.593595,1,9,"real",2
"dat",1.44135,1,3,"pseudo",2
"beller",1.26227,1,6,"pseudo",2
"ar",1.61918,0,2,"pseudo",2
"understand",1.688925,1,10,"real",2
"phlere",1.644545,1,6,"pseudo",2
"investigate",0.945585,1,11,"real",2
"people",0.72269,1,6,"real",2
"shotty",0.670705,0,6,"pseudo",2
"invectiress",0.792385,1,11,"pseudo",2
"cotosks",0.655625,1,7,"pseudo",2
"utashing",0.982865,1,8,"pseudo",2
"underchime",1.18495,1,10,"pseudo",2
"upending",0.93415,0,8,"real",2
"wood",0.766415,1,4,"real",2
"daople",0.751215,1,6,"pseudo",2
"creat",0.71808,0,5,"pseudo",2
"bulbet",0.85112,1,6,"pseudo",2
"help",0.68337,1,4,"real",2
"snose",0.81841,0,5,"pseudo",2
"back",0.6345,1,4,"real",2
"besime",0.65049,1,6,"pseudo",2
"woft",0.98249,1,4,"pseudo",2
"permanency",1.1839,1,10,"real",2
"work",0.568025,1,4,"real",2
"however",0.733765,1,7,"real",2
"without",0.51701,1,7,"real",2
"great",0.53397,1,5,"real",2
"overtruan",1.03288,0,9,"pseudo",2
"hadder",0.95064,1,6,"pseudo",2
"telechinct",1.000565,1,10,"pseudo",2
"cologne",0.616925,0,7,"real",2
"he",0.69957,1,2,"real",2
"dog",0.650045,1,3,"real",2
"two",0.451555,1,3,"real",2
"animal",0.50065,1,6,"real",2
"thantboard",0.701215,1,10,"pseudo",2
"fafever",1.020465,1,7,"pseudo",2
"hammer",0.856835,1,6,"real",2
"fast",0.86134,1,4,"real",2
"them",0.516045,0,4,"real",2
"budget",1.091815,1,6,"real",2
"bads",0.607005,0,4,"pseudo",2
"ablood",0.62143,0,6,"pseudo",2
"spat",0.539845,1,4,"real",2
"fave",0.460505,0,4,"pseudo",2
"destrifs",0.818395,1,8,"pseudo",2
"elements",0.79198,0,8,"real",2
"sick",0.89438,1,4,"real",2
"grasshopper",0.850015,1,11,"real",2
"gaian",1.35353,0,5,"pseudo",2
"hect",0.83953,1,4,"pseudo",2
"skateboard",0.91691,1,10,"real",2
"become",0.81689,1,6,"real",2
"an",0.865955,1,2,"real",2
"yos",1.08396,0,3,"pseudo",2
"yes",0.684855,1,3,"real",2
"clomify",0.7677,1,7,"pseudo",2
"ther",0.700675,0,4,"pseudo",2
"sain",0.183315,1,4,"pseudo",2
"telescoped",0.81699,0,10,"real",2
"guarantee",0.884015,1,9,"real",2
"khtna",0.767175,1,5,"pseudo",2
"pop",0.77004,1,3,"real",2
"wto",0.700375,1,3,"pseudo",2
"wirtoul",0.759265,1,7,"pseudo",2
"asca",0.9332,1,4,"pseudo",2
"hu",1.01092,1,2,"pseudo",2
"pon",0.769485,1,3,"pseudo",2
"slace",0.745635,1,5,"pseudo",2
"meat",0.719325,1,4,"real",2
"om",0.805275,1,2,"pseudo",2
"esslyots",0.688395,1,8,"pseudo",2
"everyone",0.796325,1,8,"real",2
"through",0.65395,0,7,"real",2
"spell",0.601695,0,5,"real",2
"only",0.504635,1,4,"real",2
"goud",0.98857,1,4,"pseudo",2
"plays",0.689105,1,5,"real",2
"office",0.67904,1,6,"real",2
"candy",0.534015,1,5,"real",2
"spoll",0.700095,0,5,"pseudo",2
"groon",0.649045,0,5,"pseudo",2
"unger",0.6671,1,5,"pseudo",2
"ip",0.9196,1,2,"pseudo",2
"nied",0.633385,1,4,"pseudo",2
"children",0.77108,1,8,"real",2
"en",0.97188,1,2,"pseudo",2
"street",0.5846,1,6,"real",2
"banny",1.032475,0,5,"pseudo",2
"et",1.13247,1,2,"pseudo",2
"lkoo",0.76965,1,4,"pseudo",2
"miss",0.77385,1,4,"real",2
"fawerty",0.832385,1,7,"pseudo",2
"even",0.85181,1,4,"real",2
"da",0.79969,1,2,"pseudo",2
"on",0.769935,1,2,"real",2
"fireer",0.8575,1,6,"pseudo",2
"hane",0.832505,0,4,"pseudo",2
"be",0.868045,1,2,"real",2
