"","X","words","a","b","g","u","STRING","LEN","FREQ","Orth","Orth_F","N1_F","N1_C","N2_F","N2_C","N3_F","N3_C","UN1_F","UN1_C","UN2_F","UN2_C","UN3_F","UN3_C"
"1",1,"play",1,-3.73903909949762,0.5,1,"play",4,268.074,6,24.32,10051.06,158.5,781.22,19.33,329.47,3,177536.15,24131,10736.97,1808.67,2048.45,298.5
"2",2,"hu",1,-3.14156116380292,0.5,1,"hu",2,NA,11,832.59,4579.22,5.5,0,0,NA,NA,181304.66,15439,2374.12,486,NA,NA
"3",3,"time",1,-2.96851944728685,0.5,1,"time",4,1770.21,10,5.6,24790.78,235.75,3582,18.33,1777.91,3,330404.94,41208,23338.23,4191,3055.73,222.5
"4",4,"him",1,-2.8455559530415,0.5,1,"him",3,2617.38,14,438.35,12643.44,55.33,5678.31,6.5,2617.38,1,217616.5,25177.67,20303.71,1741,3196.9,52
"5",5,"we",1,-2.7750742513431,0.5,1,"we",2,3317.08,11,1608.93,12166.18,6.5,3317.08,1,NA,NA,306803.05,34206.5,14486.49,789,NA,NA
"6",6,"plays",1,-2.76722709769059,0.5,1,"plays",5,41.7639,5,14.24,7024.83,550,748.95,37.5,329.29,10.67,194774.29,29478.8,8898.17,1473.75,1994.18,252.33
"7",7,"people",1,-2.75848192446225,0.5,1,"people",6,1317.05,0,0,8947.96,631,2156.06,72.8,1402.09,5.5,282148.41,37010.33,11804.21,2247.2,1829.27,97.25
"8",8,"ap",1,-2.74812484300023,0.5,1,"ap",2,NA,17,1132.36,9625.07,8.5,0,0,NA,NA,230178.32,29055,5990.98,1452,NA,NA
"9",9,"open",1,-2.73474702234906,0.5,1,"open",4,304.484,3,8.03,11323.22,108.75,3269.84,9.67,304.48,1,302426.67,37975.75,22083.27,3396.33,2037.18,285.5
"10",10,"uoy",1,-2.6540313628052,0.5,1,"uoy",3,NA,6,49.45,11572.75,59,148.35,3,0,0,173593.15,20286.33,791.7,213.5,7.32,9
"11",11,"khtna",1,-2.64532458318596,0.5,1,"khtna",5,NA,0,0,7196.72,189.4,25,4.25,0,0,267305.54,27293.8,3552.64,742.5,20.78,4.67
"12",12,"miss",1,-2.61230797958968,0.5,1,"miss",4,241.481,8,24.25,13923.98,274,998.49,22.33,266.05,3,233899.7,41219,18342.15,3497.67,1207.29,406
"13",13,"et",1,-2.6103310817184,0.5,1,"et",2,NA,15,1103.9,8279.23,7.5,0,0,NA,NA,456737.32,50848,13927.55,2447,NA,NA
"14",14,"moon",1,-2.60143925971745,0.5,1,"moon",4,54.7928,13,31.69,16041.88,224.5,3092.77,36,257.9,6,258922.33,30065,23132.03,3345,465.98,135
"15",15,"black",1,-2.56045265453626,0.5,1,"black",5,346.307,5,12.68,6487.72,303.4,1343.6,52.5,594.45,10.33,153179.78,21906.2,10412.52,2390,1725.69,335.33
"16",16,"ypla",1,-2.52851593857666,0.5,1,"ypla",4,NA,0,0,3890.02,77.25,1.07,1.67,0,0,177536.15,24131,7674.41,1658.33,1516.5,218.5
"17",17,"os",1,-2.49756646790343,0.5,1,"os",2,NA,14,4245.57,29718.99,7,0,0,NA,NA,293426.4,42091,8846.27,1638,NA,NA
"18",18,"fror",1,-2.45889718350229,0.5,1,"fror",4,NA,2,2116.57,8752.9,121.5,3185.24,10.33,2116.57,1,225940.03,29974.25,22154.41,2798.33,2451.37,86
"19",19,"look",1,-2.37678479487921,0.5,1,"look",4,557.923,12,70.84,13233.58,233,2786.86,35.33,972.56,6.5,211856.95,25262.25,9151.39,1474,2497.24,187.5
"20",20,"om",1,-2.30676865180142,0.5,1,"om",2,NA,14,3025.07,21175.51,7,0,0,NA,NA,212922.57,24029,18694.76,1876,NA,NA
"21",21,"left",1,-2.28637708858591,0.5,1,"left",4,567.561,7,9.83,15591.09,192.75,902.82,15.33,568.93,2.5,294587.1,34727.75,11659.92,2195.67,596.18,33.5
"22",22,"plane",1,-2.27828340674899,0.5,1,"plane",5,46.0474,6,121.43,10136.15,410.2,1154.37,53,389.32,12,287680.1,37964.4,27488.37,3694,1900,381.33
"23",23,"candy",1,-2.27629872510584,0.5,1,"candy",5,6.72268,7,4.03,5620.38,442.8,668.71,57,146.17,10.33,206259.82,26730,31927.98,2982.25,11975.33,391.67
"24",24,"become",1,-2.21360787286342,0.5,1,"become",6,392.057,1,279.85,7317.45,528.17,1426.36,40.8,621.36,4,275226.71,34704.83,20246.61,2461.2,4189.49,332
"25",25,"more",1,-2.16300118436895,0.5,1,"more",4,2427.66,20,19.84,21742.86,295.25,5522.53,39.33,2501.1,6.5,297507.82,37722.75,35510.03,4303,4047.56,322
"26",26,"fafever",1,-2.12332105081287,0.5,1,"fafever",7,NA,0,0,5596.7,1024.14,1018.46,163.83,206.19,5,271150.44,32794.14,19869.16,2796.33,3461.43,286.2
"27",27,"library",1,-2.09089770287974,0.5,1,"library",7,50.6878,0,0,4191.15,672.14,496.05,75,91.51,8.2,212728.23,31142.71,14059.7,2899.33,585.17,142.4
"28",28,"wood",1,-2.08601635528891,0.5,1,"wood",4,66.8104,11,131.96,18422.01,228.5,2354.92,30.67,687.32,5,226246.18,23186.25,8607.57,1021.33,1296.61,169
"29",29,"tried",1,-2.08023096257732,0.5,1,"tried",5,215.066,8,14.52,13746.16,493.6,1586.39,106.5,363.54,14.67,325642.67,42125.4,20760.49,4757.5,2258.33,521.33
"30",30,"ot",1,-2.06976114533163,0.5,1,"ot",2,NA,20,2904.34,29043.4,10,0,0,NA,NA,357657.21,35767,15591.74,1587,NA,NA
"31",31,"cok",1,-2.0666328232987,0.5,1,"cok",3,NA,13,6.09,10014.74,55.67,39.59,6.5,0,0,156967.2,20339.33,12578.26,2216.5,6.6,8
"32",32,"complete",1,-2.03519328279028,0.5,1,"complete",8,99.2934,0,0,3709.31,946.5,688.99,152,210.61,23,278232.62,35179,18425.33,3436,2459.76,359.17
"33",33,"ujst",1,-2.02997720329489,0.5,1,"ujst",4,NA,0,0,9767.95,102.75,2040.24,14.33,0,0,194825.52,27160.5,11207.03,2200,0,0
"34",34,"asca",1,-2.02303907804512,0.5,1,"asca",4,NA,1,27.31,2753.46,69.75,26.51,3,0,0,285981.68,39316.25,17375.68,2519.33,322.75,186
"35",35,"from",1,-2.0059739500191,0.5,1,"from",4,4229.52,2,1.93,9275.84,122.75,4635.42,12,4231.45,2,190894.84,23821,15914.85,2034.33,4688.21,139
"36",36,"inni",1,-1.99612879705782,0.5,1,"inni",4,NA,1,2.14,4606.25,81.25,685.59,3.33,1.07,0.5,296072.09,43640,30440.02,5378.33,607.87,151.5
"37",37,"them",1,-1.98876480730081,0.5,1,"them",4,2305.28,7,937.83,24886.27,138.25,13599.42,14.33,5587.55,4,315224.54,32209.75,84955.59,2144,44210.14,342
"38",38,"round",1,-1.97140350918502,0.5,1,"round",5,322.51,7,112.76,10897.17,380.8,3128.81,48,1062.88,9.33,227412.38,30244.8,30565.21,3014.5,4594.58,514
"39",39,"peace",1,-1.95463402226432,0.5,1,"peace",5,90.7265,3,184.55,10633.42,428.6,1989.63,53.25,413.42,7.67,323913.65,41537.4,17907.74,2581,1742.88,180.33
"40",40,"sun",1,-1.94013981637983,0.5,1,"sun",3,155.217,17,34.55,8546.83,61.33,352.29,7.5,155.22,1,222783.33,36080.33,10823.43,1935,377.07,97
"41",41,"spu",1,-1.93599829081564,0.5,1,"spu",3,NA,3,3.39,4954.7,24.33,4.91,1,0,0,153402.7,28526,4464.42,1064.5,75.38,47
"42",42,"come",1,-1.92052796126019,0.5,1,"come",4,845.987,16,200.29,18482.25,273.25,3923.41,31.33,2049.4,5,265942.64,33540.25,22448.34,2909.67,6345.91,524
"43",43,"orn",1,-1.90310118065317,0.5,1,"orn",3,NA,5,185.5,7099.31,37.67,3.24,2,0,0,284248.04,37187,21143.73,2461.5,813.98,193
"44",44,"morning",1,-1.86860868331411,0.5,1,"morning",7,305.257,2,2.92,8787.21,1212.71,3620.48,425,2160.99,218.8,233088.7,32897.14,29896.91,5000.67,7505.13,1628.4
"45",45,"through",1,-1.85019466110768,0.5,1,"through",7,956.346,0,0,3960.19,439.43,1183.65,34,972.23,7,235648.79,24408.71,34711.28,1756.5,3336.75,221.6
"46",46,"tfaer",1,-1.84509430243048,0.5,1,"tfaer",5,NA,0,0,11729.74,415.2,1843.47,46.75,0,0,326597.84,38161,17921.16,3016.5,13.31,17.67
"47",47,"mun",1,-1.83594781315051,0.5,1,"mun",3,NA,17,133.31,6883.25,55,280.42,7,0,0,169114.11,24039,8389.28,1575,403.54,80
"48",48,"daople",1,-1.83348726950685,0.5,1,"daople",6,NA,1,0.24,7944.38,648.5,1567.59,69.4,743.21,4.75,273536.85,34237.67,9402.2,1796.4,1154.68,85
"49",49,"great",1,-1.82314424706708,0.5,1,"great",5,639.726,3,15.27,8767.35,305.4,1607.14,45.5,912.1,9.67,324433.67,39926.2,33401.86,4619.25,4254.43,431.33
"50",50,"utashing",1,-1.81598071868811,0.5,1,"utashing",8,NA,1,0,4051.46,1033,1730.09,422.43,1015.43,229.5,259557.82,33228.25,31976.2,4639.86,6372.15,1428.67
"51",51,"inside",1,-1.81105574047196,0.5,1,"inside",6,189.187,1,0,5731.84,461.17,634.51,42.4,280.97,7.5,308166,45199.33,27903.27,4956.2,2668.21,378.25
"52",52,"sick",1,-1.80582529275315,0.5,1,"sick",4,70.6179,15,12.93,11996.14,200,1099.7,28.33,127.55,6,179232.1,31741.5,13078.67,2707.67,992.04,267.5
"53",53,"farmer",1,-1.80480468394502,0.5,1,"farmer",6,32.5425,4,23.98,9358.88,974.17,2235.8,201.4,155.74,13,264403.31,34448,27102.65,4051.2,1035.43,199.25
"54",54,"without",1,-1.79322546989123,0.5,1,"without",7,595.76,0,0,4289.33,534.14,979.19,55.83,625.08,9.4,266836.87,27709,42902.27,2175.5,6647.61,244.4
"55",55,"hot",1,-1.75558034039146,0.5,1,"hot",3,143.378,19,390.3,22922.38,77.33,3766.43,9,143.38,1,320006.26,27977,18063.43,1757.5,549.36,105
"56",56,"will",1,-1.75481473194352,0.5,1,"will",4,2105.87,17,96.28,16600.78,191.25,6173.81,38.33,2328.16,8.5,184456.21,28006.25,16563.03,2125,3844.84,319
