"","words","a","b","g","u"
"1","play",1,-3.74415464963071,0.5,1
"2","hu",1,-3.14421571434584,0.5,1
"3","time",1,-2.96991179374903,0.5,1
"4","him",1,-2.84769135400042,0.5,1
"5","we",1,-2.77655797104089,0.5,1
"6","plays",1,-2.76807334231113,0.5,1
"7","people",1,-2.76115648115583,0.5,1
"8","ap",1,-2.74980446239052,0.5,1
"9","open",1,-2.73569869111249,0.5,1
"10","uoy",1,-2.65497248688179,0.5,1
"11","khtna",1,-2.64673964989012,0.5,1
"12","miss",1,-2.61251884973242,0.5,1
"13","et",1,-2.6109974100698,0.5,1
"14","moon",1,-2.60014898457894,0.5,1
"15","black",1,-2.56371766768652,0.5,1
"16","ypla",1,-2.53080111671149,0.5,1
"17","os",1,-2.49742450585439,0.5,1
"18","fror",1,-2.45829009775735,0.5,1
"19","look",1,-2.37463868671636,0.5,1
"20","om",1,-2.30958561583341,0.5,1
"21","left",1,-2.28970534677345,0.5,1
"22","plane",1,-2.27969140820164,0.5,1
"23","candy",1,-2.27776462938327,0.5,1
"24","become",1,-2.21399429279127,0.5,1
"25","more",1,-2.16259363563272,0.5,1
"26","fafever",1,-2.12147120254881,0.5,1
"27","library",1,-2.09413055505478,0.5,1
"28","wood",1,-2.08917092373707,0.5,1
"29","tried",1,-2.07855746792312,0.5,1
"30","ot",1,-2.06940351426201,0.5,1
"31","cok",1,-2.06817515657219,0.5,1
"32","complete",1,-2.03558539793282,0.5,1
"33","ujst",1,-2.03137696153999,0.5,1
"34","asca",1,-2.02563515304183,0.5,1
"35","from",1,-2.00450893969586,0.5,1
"36","inni",1,-1.99568532625453,0.5,1
"37","them",1,-1.99000428720029,0.5,1
"38","round",1,-1.97250955639113,0.5,1
"39","peace",1,-1.95439974429099,0.5,1
"40","sun",1,-1.9401914836211,0.5,1
"41","spu",1,-1.93677386771481,0.5,1
"42","come",1,-1.92112486872198,0.5,1
"43","orn",1,-1.90151735899171,0.5,1
"44","morning",1,-1.86863989671044,0.5,1
